customerid,name,age,purchaseamount,country,date
1,Starlene Lowdham,7,2538.44,Indonesia,2021-05-11
2,Inez Segrott,97,1666.13,Morocco,2024-10-16
3,Wilmette McNerlin,74,1291.57,South Africa,2022-10-28
4,Randolph Babber,9,2464.18,Russia,2022-09-14
5,Tamarah Bolin,76,4596.19,China,2022-12-02
6,Stanislas Cleaton,98,3303.37,Japan,2019-03-24
7,Naomi Kean,54,2312.3,Poland,2025-10-22
8,Turner Adran,1,1217.87,China,2019-12-08
9,Lianne Lilburn,69,2493.17,Indonesia,2022-04-06
10,Aggy Sambidge,36,4464.09,Portugal,2019-05-31
11,Rudolph Tripon,5,4785.02,Philippines,2024-05-03
12,Orbadiah Kenningham,21,3785.56,Indonesia,2022-08-24
13,Amory Kilmaster,31,3669.13,China,2022-11-07
14,Adrea Spellicy,29,1607.87,Peru,2024-01-23
15,Moise Chilver,35,4299.58,Peru,2022-08-21
16,Juieta Gouge,84,3067.73,Russia,2022-06-10
17,Avrom Mobley,86,4218.1,China,2020-02-13
18,Natty Etter,5,1950.65,Poland,2023-07-16
19,Linell Skeates,56,2741.48,United States,2021-11-16
20,Wendel Skidmore,39,1125.02,Philippines,2020-02-22
21,Trstram Sodeau,81,3286.08,El Salvador,2024-11-21
22,Daloris Henner,17,546.07,China,2021-07-16
23,Pavla Ghirardi,10,1407.78,Philippines,2022-01-09
24,Lurette Kitchingham,58,2373.56,Iran,2025-09-06
25,Almeria Berkowitz,8,19.78,Indonesia,2024-04-27
26,Devland Buckingham,77,2840.28,China,2023-01-04
27,Kort Murt,74,4000.69,Niger,2023-02-18
28,Liesa Ricardon,28,345.65,Canada,2019-02-05
29,Cortie Kempstone,83,3050.75,United States,2020-02-20
30,Elaina Antram,46,2809.89,Philippines,2024-10-14
31,Cleveland Ellens,15,2641.35,Indonesia,2024-01-06
32,Carleen Porson,51,3029.67,Guatemala,2025-09-17
33,Rickey Sowerby,67,564.13,Macedonia,2025-09-19
34,Bogey Bamlet,7,4702.45,Haiti,2023-06-17
35,Danni Blackaby,17,1188.71,Indonesia,2023-01-13
36,Tyler Studders,6,2580.08,Peru,2023-05-10
37,Kiley Beecham,78,2445.27,Serbia,2024-01-01
38,Nikoletta Veldstra,13,4405.2,Mexico,2023-07-24
39,Morgan Tomini,22,1971.92,Philippines,2024-12-18
40,Mable Windybank,64,1688.04,Sweden,2021-06-02
41,Alaric Hazelgrove,56,2471.76,Philippines,2019-04-09
42,Fidole Banke,29,1964.34,Malaysia,2024-08-13
43,Nate Frandsen,85,2508.3,United States,2019-01-04
44,Tristam Brearton,3,2667.08,China,2021-12-08
45,Karel Baynton,28,4255.69,Dominican Republic,2022-07-10
46,Ronald Gummie,21,4170.72,Czech Republic,2024-04-08
47,Cornell Kabos,69,862.87,Indonesia,2020-08-13
48,Antonio Odd,28,2542.25,Russia,2022-03-15
49,Darelle McKeighen,79,2518.72,Portugal,2019-01-02
50,Alva Laurent,66,1383.51,Poland,2024-09-13
51,Cassondra Kemmett,66,52.9,Kenya,2019-11-13
52,Arabelle Jodlowski,62,3512.27,Indonesia,2025-05-26
53,Ethelbert Matovic,85,3106.52,Venezuela,2024-11-23
54,Rip Lovick,87,1487.43,China,2022-05-12
55,Nichole Windaybank,98,2019.7,Philippines,2023-10-07
56,Kati Swendell,46,2329.13,China,2023-12-04
57,Etan Assad,26,3035.94,Greece,2022-02-17
58,Gideon Swadlen,85,3351.67,United States,2025-05-28
59,Stanford Toffler,10,1074.97,Indonesia,2022-09-25
60,Parrnell Ballingal,72,1858.2,Croatia,2020-08-31
61,Dud Mongeot,86,3361.49,Portugal,2020-10-09
62,Gerti Po,56,4956.11,China,2025-10-29
63,Wernher Gillhespy,100,518.85,Bolivia,2023-06-25
64,Davin Ranklin,5,21.88,China,2024-03-30
65,Florella O'Neil,59,84.3,Indonesia,2021-03-18
66,Crawford Corse,32,3256.43,Afghanistan,2024-09-27
67,Osgood Bartul,26,2575.11,Yemen,2020-12-14
68,Dalis Hughesdon,31,1623.07,Russia,2025-02-15
69,Umberto Hutsby,24,694.27,France,2023-07-20
70,Lamont Wetton,12,45.28,Tunisia,2020-09-16
71,Jarvis Jotcham,60,307.97,France,2025-08-30
72,Delainey Benedito,1,318.76,Sweden,2022-06-04
73,Kimberlyn Sotham,29,1010.63,Philippines,2024-11-02
74,Kane Gostall,23,2488.41,France,2024-02-25
75,Eartha Ridehalgh,5,3902.78,Greece,2021-01-13
76,Worthington Siburn,60,2326.95,United States,2025-12-20
77,Bern Blackborow,47,3596.42,Belarus,2022-06-22
78,Fitz Faccini,16,628.6,Brazil,2019-05-18
79,Avis Ambler,17,3205.16,Russia,2020-07-06
80,Reiko Filippi,67,1814.05,China,2020-04-27
81,Anett Finessy,34,2431.79,Sweden,2020-06-02
82,Lawrence Cornehl,1,1626.14,Poland,2024-05-12
83,Candida Readwood,91,679.15,Thailand,2020-05-02
84,Keefer Domenici,6,2507.0,Peru,2025-05-22
85,Bellanca Weild,32,4229.74,Indonesia,2025-12-21
86,Oren Loughman,30,4073.22,Ukraine,2019-10-27
87,Del Conradie,42,300.72,Ukraine,2025-04-20
88,Terrance Breadmore,99,4572.41,Latvia,2023-12-09
89,Atlanta Skirving,61,3061.47,Czech Republic,2023-02-25
90,Killie Feasley,11,2674.0,Jamaica,2021-04-01
91,Dione Eick,62,3404.11,Indonesia,2025-10-27
92,Katherine Fenners,67,2306.13,Greece,2022-05-23
93,Colman D'orsay,97,3915.62,Madagascar,2019-08-11
94,Teador Baynom,86,3119.15,Palestinian Territory,2019-06-28
95,Thornton Maypowder,63,3986.17,United States,2024-08-12
96,Robinet Sambals,16,3048.11,Portugal,2021-09-08
97,Andris Blindmann,97,2883.36,Philippines,2025-02-26
98,Lucia Joberne,6,1497.75,Greece,2025-08-30
99,Jerri Loughnan,51,3959.02,Brazil,2020-01-20
100,Electra Radeliffe,70,4553.5,China,2019-02-06
101,Honey Beach,6,764.37,Thailand,2020-11-02
102,Sibeal Kisar,30,3861.25,Brazil,2025-10-14
103,Lilia Downton,6,2359.29,Afghanistan,2023-02-27
104,Vivia Giraldez,38,1002.32,Solomon Islands,2021-07-04
105,Pryce Sich,82,313.52,China,2024-11-19
106,Bambi Bradnum,91,2559.83,Indonesia,2023-02-01
107,Natividad Drust,93,4805.05,Japan,2023-06-02
108,Bethanne De Roos,65,1827.29,China,2022-02-20
109,Merrick Giametti,85,1937.43,Syria,2025-04-29
110,Natty Crickmer,97,4951.01,Russia,2019-12-07
111,Othella Mogie,21,4613.46,United States,2019-11-09
112,Gabie Bridgnell,59,1606.69,China,2025-02-22
113,Whitman Kersey,69,1551.11,Indonesia,2024-08-03
114,Deerdre Davidofski,31,4618.92,Morocco,2021-06-11
115,Jeanine Gowdie,35,1872.98,Guatemala,2025-12-28
116,Janice Trevaskiss,44,3426.29,Portugal,2021-10-06
117,Ximenez Daldry,54,1738.35,Egypt,2021-05-01
118,Davida Meeland,35,467.7,Canada,2025-11-08
119,Tulley Blacklock,35,1363.13,Denmark,2022-07-17
120,Marcello Antram,87,4135.4,Argentina,2019-04-14
121,Tonie Hebblethwaite,37,4249.7,Poland,2022-12-19
122,Quillan Bulbeck,48,2581.31,China,2022-10-04
123,Gregoire Doudney,69,2064.67,Bhutan,2020-08-09
124,Valera Duckels,66,3225.55,China,2024-11-22
125,Hartley Strelitz,76,2951.46,Venezuela,2022-06-30
126,Crawford Penquet,72,4789.45,Germany,2019-10-22
127,Myrtia Plumley,34,3304.31,Indonesia,2021-11-09
128,Hilliary Cloutt,89,4870.29,Philippines,2024-10-03
129,Bunny Blannin,36,274.51,China,2020-12-10
130,Katrina Galtone,35,3850.16,Croatia,2024-07-21
131,Rickert Garthland,33,4609.69,Russia,2023-10-26
132,Joelly Dewer,72,4877.88,Colombia,2022-12-01
133,Zondra Cogdell,30,3515.46,Poland,2024-08-21
134,Georgianne Allder,47,1439.38,Macedonia,2023-03-21
135,Johnette Guthrie,47,4494.93,Russia,2024-01-30
136,Zeb Maymond,62,2655.11,Peru,2022-05-14
137,Lonnard Naisbet,49,152.29,Indonesia,2019-10-08
138,Bat Sorrill,58,2905.57,United States,2024-07-22
139,Hodge Annandale,2,4774.78,Canada,2023-04-13
140,Isabelle Osborn,93,3032.61,Italy,2019-01-19
141,Joli Popplewell,56,4880.89,China,2023-09-07
142,Frayda Blakeston,42,2106.38,North Korea,2021-05-29
143,Gallagher Plumm,34,2137.4,China,2021-05-09
144,Nicholas McIlmurray,77,1156.92,United States,2025-02-04
145,Justinian Scoon,23,2558.61,Russia,2019-02-20
146,Decca Jeffrey,40,3106.95,Palestinian Territory,2024-11-05
147,Krystyna Bruckmann,48,1634.24,Philippines,2023-08-05
148,Ettore Everal,17,556.18,Poland,2025-04-08
149,Frazier Garrettson,16,3188.19,Indonesia,2024-03-14
150,Jedidiah Ceillier,89,519.99,China,2025-06-14
151,Freeland Fudger,15,3151.86,Czech Republic,2020-11-21
152,Red June,47,53.02,Brazil,2022-09-16
153,Benoite Vockins,94,2411.86,Indonesia,2022-08-09
154,Cloris Stuckey,91,4316.56,Sudan,2020-02-09
155,Elvis Hurdis,33,1874.83,Chad,2020-02-01
156,Skipper Varley,35,4042.28,Poland,2019-09-03
157,Belita MacKee,78,2439.0,Russia,2023-06-30
158,Nels Wrinch,33,408.6,China,2021-02-18
159,Mycah Bim,49,1879.52,Norway,2025-09-12
160,Miranda Gregorace,52,4266.79,Czech Republic,2022-08-22
161,Marja Boyd,4,4508.96,Greece,2020-02-11
162,Aggie Danis,21,3414.04,Argentina,2022-08-01
163,Abran Waylen,49,2604.51,China,2020-02-07
164,Frank Corstan,2,2769.71,Portugal,2023-10-28
