customerid,name,age,purchaseamount,country,date,age_group,purchase_category
1,Starlene Lowdham,7,2538.44,Indonesia,2021-05-11,Teen,VIP
2,Inez Segrott,97,1666.13,Morocco,2024-10-16,Senior,VIP
3,Wilmette McNerlin,74,1291.57,South Africa,2022-10-28,Senior,VIP
4,Randolph Babber,9,2464.18,Russia,2022-09-14,Teen,VIP
5,Tamarah Bolin,76,4596.19,China,2022-12-02,Senior,VIP
6,Stanislas Cleaton,98,3303.37,Japan,2019-03-24,Senior,VIP
7,Naomi Kean,54,2312.3,Poland,2025-10-22,Senior,VIP
8,Turner Adran,1,1217.87,China,2019-12-08,Teen,VIP
9,Lianne Lilburn,69,2493.17,Indonesia,2022-04-06,Senior,VIP
10,Aggy Sambidge,36,4464.09,Portugal,2019-05-31,Adult,VIP
11,Rudolph Tripon,5,4785.02,Philippines,2024-05-03,Teen,VIP
12,Orbadiah Kenningham,21,3785.56,Indonesia,2022-08-24,Young Adult,VIP
13,Amory Kilmaster,31,3669.13,China,2022-11-07,Young Adult,VIP
14,Adrea Spellicy,29,1607.87,Peru,2024-01-23,Young Adult,VIP
15,Moise Chilver,35,4299.58,Peru,2022-08-21,Young Adult,VIP
16,Juieta Gouge,84,3067.73,Russia,2022-06-10,Senior,VIP
17,Avrom Mobley,86,4218.1,China,2020-02-13,Senior,VIP
18,Natty Etter,5,1950.65,Poland,2023-07-16,Teen,VIP
19,Linell Skeates,56,2741.48,United States,2021-11-16,Senior,VIP
20,Wendel Skidmore,39,1125.02,Philippines,2020-02-22,Adult,VIP
21,Trstram Sodeau,81,3286.08,El Salvador,2024-11-21,Senior,VIP
22,Daloris Henner,17,546.07,China,2021-07-16,Teen,High
23,Pavla Ghirardi,10,1407.78,Philippines,2022-01-09,Teen,VIP
24,Lurette Kitchingham,58,2373.56,Iran,2025-09-06,Senior,VIP
25,Almeria Berkowitz,8,19.78,Indonesia,2024-04-27,Teen,Low
26,Devland Buckingham,77,2840.28,China,2023-01-04,Senior,VIP
27,Kort Murt,74,4000.69,Niger,2023-02-18,Senior,VIP
28,Liesa Ricardon,28,345.65,Canada,2019-02-05,Young Adult,Medium
29,Cortie Kempstone,83,3050.75,United States,2020-02-20,Senior,VIP
30,Elaina Antram,46,2809.89,Philippines,2024-10-14,Adult,VIP
31,Cleveland Ellens,15,2641.35,Indonesia,2024-01-06,Teen,VIP
32,Carleen Porson,51,3029.67,Guatemala,2025-09-17,Senior,VIP
33,Rickey Sowerby,67,564.13,Macedonia,2025-09-19,Senior,High
34,Bogey Bamlet,7,4702.45,Haiti,2023-06-17,Teen,VIP
35,Danni Blackaby,17,1188.71,Indonesia,2023-01-13,Teen,VIP
36,Tyler Studders,6,2580.08,Peru,2023-05-10,Teen,VIP
37,Kiley Beecham,78,2445.27,Serbia,2024-01-01,Senior,VIP
38,Nikoletta Veldstra,13,4405.2,Mexico,2023-07-24,Teen,VIP
39,Morgan Tomini,22,1971.92,Philippines,2024-12-18,Young Adult,VIP
