CustomerID,Name,Age,PurchaseAmount,Country,Date
1,Starlene Lowdham,7,2538.44,Indonesia,11-05-2021
2,Inez Segrott,97,1666.13,Morocco,16-10-2024
3,Wilmette McNerlin,74,1291.57,South Africa,28-10-2022
4,Randolph Babber,9,2464.18,Russia,14-09-2022
5,Tamarah Bolin,76,4596.19,China,02-12-2022
6,Stanislas Cleaton,98,3303.37,Japan,24-03-2019
7,Naomi Kean,54,2312.3,Poland,22-10-2025
8,Turner Adran,1,1217.87,China,08-12-2019
9,Lianne Lilburn,69,2493.17,Indonesia,06-04-2022
10,Aggy Sambidge,36,4464.09,Portugal,31-05-2019
11,Rudolph Tripon,5,4785.02,Philippines,03-05-2024
12,Orbadiah Kenningham,21,3785.56,Indonesia,24-08-2022
13,Amory Kilmaster,31,3669.13,China,07-11-2022
14,Adrea Spellicy,29,1607.87,Peru,23-01-2024
15,Moise Chilver,35,4299.58,Peru,21-08-2022
16,Juieta Gouge,84,3067.73,Russia,10-06-2022
17,Avrom Mobley,86,4218.1,China,13-02-2020
18,Natty Etter,5,1950.65,Poland,16-07-2023
19,Linell Skeates,56,2741.48,United States,16-11-2021
20,Wendel Skidmore,39,1125.02,Philippines,22-02-2020
21,Trstram Sodeau,81,3286.08,El Salvador,21-11-2024
22,Daloris Henner,17,546.07,China,16-07-2021
23,Pavla Ghirardi,10,1407.78,Philippines,09-01-2022
24,Lurette Kitchingham,58,2373.56,Iran,06-09-2025
25,Almeria Berkowitz,8,19.78,Indonesia,27-04-2024
26,Devland Buckingham,77,2840.28,China,04-01-2023
27,Kort Murt,74,4000.69,Niger,18-02-2023
28,Liesa Ricardon,28,345.65,Canada,05-02-2019
29,Cortie Kempstone,83,3050.75,United States,20-02-2020
30,Elaina Antram,46,2809.89,Philippines,14-10-2024
31,Cleveland Ellens,15,2641.35,Indonesia,06-01-2024
32,Carleen Porson,51,3029.67,Guatemala,17-09-2025
33,Rickey Sowerby,67,564.13,Macedonia,19-09-2025
34,Bogey Bamlet,7,4702.45,Haiti,17-06-2023
35,Danni Blackaby,17,1188.71,Indonesia,13-01-2023
36,Tyler Studders,6,2580.08,Peru,10-05-2023
37,Kiley Beecham,78,2445.27,Serbia,01-01-2024
38,Nikoletta Veldstra,13,4405.2,Mexico,24-07-2023
39,Morgan Tomini,22,1971.92,Philippines,18-12-2024
40,Mable Windybank,64,1688.04,Sweden,02-06-2021
41,Alaric Hazelgrove,56,2471.76,Philippines,09-04-2019
42,Fidole Banke,29,1964.34,Malaysia,13-08-2024
43,Nate Frandsen,85,2508.3,United States,04-01-2019
44,Tristam Brearton,3,2667.08,China,08-12-2021
45,Karel Baynton,28,4255.69,Dominican Republic,10-07-2022
46,Ronald Gummie,21,4170.72,Czech Republic,08-04-2024
47,Cornell Kabos,69,862.87,Indonesia,13-08-2020
48,Antonio Odd,28,2542.25,Russia,15-03-2022
49,Darelle McKeighen,79,2518.72,Portugal,02-01-2019
50,Alva Laurent,66,1383.51,Poland,13-09-2024
51,Cassondra Kemmett,66,52.9,Kenya,13-11-2019
52,Arabelle Jodlowski,62,3512.27,Indonesia,26-05-2025
53,Ethelbert Matovic,85,3106.52,Venezuela,23-11-2024
54,Rip Lovick,87,1487.43,China,12-05-2022
55,Nichole Windaybank,98,2019.7,Philippines,07-10-2023
56,Kati Swendell,46,2329.13,China,04-12-2023
57,Etan Assad,26,3035.94,Greece,17-02-2022
58,Gideon Swadlen,85,3351.67,United States,28-05-2025
59,Stanford Toffler,10,1074.97,Indonesia,25-09-2022
60,Parrnell Ballingal,72,1858.2,Croatia,31-08-2020
61,Dud Mongeot,86,3361.49,Portugal,09-10-2020
62,Gerti Po,56,4956.11,China,29-10-2025
63,Wernher Gillhespy,100,518.85,Bolivia,25-06-2023
64,Davin Ranklin,5,21.88,China,30-03-2024
65,Florella O'Neil,59,84.3,Indonesia,18-03-2021
66,Crawford Corse,32,3256.43,Afghanistan,27-09-2024
67,Osgood Bartul,26,2575.11,Yemen,14-12-2020
68,Dalis Hughesdon,31,1623.07,Russia,15-02-2025
69,Umberto Hutsby,24,694.27,France,20-07-2023
70,Lamont Wetton,12,45.28,Tunisia,16-09-2020
71,Jarvis Jotcham,60,307.97,France,30-08-2025
72,Delainey Benedito,1,318.76,Sweden,04-06-2022
73,Kimberlyn Sotham,29,1010.63,Philippines,02-11-2024
74,Kane Gostall,23,2488.41,France,25-02-2024
75,Eartha Ridehalgh,5,3902.78,Greece,13-01-2021
76,Worthington Siburn,60,2326.95,United States,20-12-2025
77,Bern Blackborow,47,3596.42,Belarus,22-06-2022
78,Fitz Faccini,16,628.6,Brazil,18-05-2019
79,Avis Ambler,17,3205.16,Russia,06-07-2020
80,Reiko Filippi,67,1814.05,China,27-04-2020
81,Anett Finessy,34,2431.79,Sweden,02-06-2020
82,Lawrence Cornehl,1,1626.14,Poland,12-05-2024
83,Candida Readwood,91,679.15,Thailand,02-05-2020
84,Keefer Domenici,6,2507.0,Peru,22-05-2025
85,Bellanca Weild,32,4229.74,Indonesia,21-12-2025
